University,City,Status,Established,Rector
ISTANBUL HEALTH AND TECHNOLOGY UNIVERSITY,İSTANBUL,FOUNDATION,2018,PROF.DR. SEYHAN ALKAN
ISTANBUL SISLI VOCATIONAL SCHOOL,İSTANBUL,FOUNDATION VS,2012,
ISTANBUL TECHNICAL UNIVERSITY,İSTANBUL,STATE,1944,PROF.DR. İSMAİL KOYUNCU
ISTANBUL COMMERCE UNIVERSITY,İSTANBUL,FOUNDATION,2001,PROF.DR. YÜCEL OĞURLU
ISTANBUL TOPKAPI UNIVERSITY,İSTANBUL,FOUNDATION,2016,PROF.DR. EMRE ALKİN
ISTANBUL UNIVERSITY,İSTANBUL,STATE,1933,PROF.DR. MAHMUT AK
ISTANBUL UNIVERSITY-CERRAHPASA,İSTANBUL,STATE,2018,PROF.DR. NURİ AYDIN
ISTANBUL YENI YUZYIL UNIVERSITY,İSTANBUL,FOUNDATION,2009,PROF.DR. İLHAN YAŞAR HACISALİHOĞLU
ISTANBUL 29 MAYIS UNIVERSITY,İSTANBUL,FOUNDATION,2010,PROF.DR. MUSTAFA SİNANOĞLU
ISTINYE UNIVERSITY,İSTANBUL,FOUNDATION,2015,PROF.DR. ERKAN İBİŞ
IZMIR BAKIRCAY UNIVERSITY,İZMİR,STATE,2016,PROF.DR. MUSTAFA BERKTAŞ
IZMIR DEMOCRACY UNIVERSITY,İZMİR,STATE,2016,PROF.DR. BEDRİYE TUNÇSİPER
IZMIR UNIVERSITY OF ECONOMICS,İZMİR,FOUNDATION,2001,PROF.DR. MURAT AŞKAR
IZMIR KATIP CELEBI UNIVERSITY,İZMİR,STATE,2010,PROF.DR. SAFFET KÖSE
IZMIR KAVRAM VOCATIONAL COLLEGE OF HIGHER EDUCATION,İZMİR,FOUNDATION VS,2008,
IZMIR TINAZTEPE UNIVERSITY,İZMİR,FOUNDATION,2018,PROF.DR. MUSTAFA GÜVENÇER
IZMIR INSTITUTE OF TECHNOLOGY,İZMİR,STATE,1992,PROF.DR. YUSUF BARAN
KADIR HAS UNIVERSITY,İSTANBUL,FOUNDATION,1997,PROF.DR. MERYEM SONDAN DURUKANOĞLU FEYİZ
KAFKAS UNIVERSITY,KARS,STATE,1992,PROF.DR. HÜSNÜ KAPU
KAHRAMANMARAS ISTIKLAL UNIVERSITY,KAHRAMANMARAŞ,STATE,2018,PROF.DR. SAMİ ÖZGÜL
KAHRAMANMARAS SUTCU IMAM UNIVERSITY,KAHRAMANMARAŞ,STATE,1992,PROF.DR. NİYAZİ CAN
CAPPADOCIA UNIVERSITY,NEVŞEHİR,FOUNDATION,2005,
